game_id,season,date,team,opponent,is_home,went_to_ot,won,goals_for,goals_against,ev_shots_on_goal_for,ev_shots_on_goal_against,ev_missed_shots_for,ev_missed_shots_against,ev_blocked_shots_for,ev_blocked_shots_against,ev_shot_attempts_for,ev_shot_attempts_against,ev_goals_for,ev_goals_against,ev_hits_for,ev_hits_against,ev_giveaways,ev_takeaways,ev_faceoffs_won,ev_faceoffs_taken,ev_penalties_taken,ev_penalties_drawn,ev_penalty_minutes,pp_shots_on_goal_for,pp_shots_on_goal_against,pp_missed_shots_for,pp_missed_shots_against,pp_blocked_shots_for,pp_blocked_shots_against,pp_shot_attempts_for,pp_shot_attempts_against,pp_goals_for,pp_goals_against,pp_hits_for,pp_hits_against,pp_giveaways,pp_takeaways,pp_faceoffs_won,pp_faceoffs_taken,pp_penalties_taken,pp_penalties_drawn,pp_penalty_minutes,sh_shots_on_goal_for,sh_shots_on_goal_against,sh_missed_shots_for,sh_missed_shots_against,sh_blocked_shots_for,sh_blocked_shots_against,sh_shot_attempts_for,sh_shot_attempts_against,sh_goals_for,sh_goals_against,sh_hits_for,sh_hits_against,sh_giveaways,sh_takeaways,sh_faceoffs_won,sh_faceoffs_taken,sh_penalties_taken,sh_penalties_drawn,sh_penalty_minutes
2023020031,20232024,2023-10-14,ANA,VGK,False,False,0,1,4,19,26,12,9,15,10,46,45,1,1,26,20,4,7,23,40,6,6,18,4,11,0,3,3,4,7,18,0,2,1,1,1,0,1,8,1,0,2,0,1,0,0,1,0,1,1,0,1,2,1,0,1,3,8,1,1,2
2023020034,20232024,2023-10-15,ANA,CAR,True,False,1,6,3,22,24,12,19,23,8,57,51,4,1,16,12,2,4,21,45,8,5,24,1,11,1,4,7,3,9,18,0,2,0,0,0,0,1,2,1,0,4,2,0,0,0,0,0,2,0,2,0,0,1,0,1,6,9,0,1,0
2023020059,20232024,2023-10-19,ANA,DAL,True,False,0,2,3,21,21,7,15,9,18,37,54,2,1,24,16,10,3,14,40,4,3,8,7,2,3,0,3,2,13,4,0,2,2,0,3,0,2,5,1,0,2,1,1,0,1,0,0,1,2,0,0,1,2,0,1,3,7,0,1,0
2023020066,20232024,2023-10-21,ANA,ARI,False,False,0,1,2,19,18,11,7,15,6,45,31,0,0,31,20,5,2,12,29,7,6,17,13,9,3,8,3,10,19,27,1,2,0,0,0,0,2,6,0,0,0,1,0,1,1,0,1,2,2,0,0,3,4,0,0,4,9,1,0,2
2023020081,20232024,2023-10-22,ANA,BOS,True,False,0,1,3,24,14,16,11,7,8,47,33,1,2,25,23,6,4,17,35,3,4,6,6,10,2,4,6,4,14,18,0,0,0,0,2,0,4,7,3,0,6,1,2,1,1,1,1,3,4,0,1,2,0,1,1,5,10,0,0,0
2023020084,20232024,2023-10-24,ANA,CBJ,False,True,1,3,2,18,19,6,14,12,12,36,45,2,1,19,12,1,2,23,34,5,4,10,5,17,6,8,11,4,22,29,0,1,0,0,0,1,6,13,0,0,0,2,0,0,1,1,0,3,1,0,0,3,0,0,2,6,8,2,0,4
2023020100,20232024,2023-10-26,ANA,BOS,False,True,1,4,3,22,23,7,9,10,9,39,41,1,2,25,19,8,9,15,37,3,5,6,7,7,8,2,2,4,17,13,2,1,0,0,1,1,6,10,0,0,0,1,0,0,2,2,0,3,2,0,0,1,6,0,0,6,10,1,1,2
2023020117,20232024,2023-10-28,ANA,PHI,False,False,1,7,4,19,26,7,12,16,9,42,47,4,3,12,12,4,5,18,52,3,2,9,4,4,2,4,3,3,9,11,2,1,0,1,1,1,2,7,0,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,1,4,5,2,1,4
2023020132,20232024,2023-10-30,ANA,PIT,False,False,1,4,3,23,22,7,20,16,12,46,54,2,1,18,10,0,2,10,39,3,3,6,3,18,2,8,13,3,18,29,1,2,0,0,0,0,2,13,1,0,2,1,2,0,0,0,0,1,2,1,0,0,1,1,1,6,9,4,0,6
2023020144,20232024,2023-11-01,ANA,ARI,True,True,1,4,3,20,28,4,11,12,6,36,45,1,3,29,10,4,4,17,43,3,4,6,6,5,2,2,4,1,12,8,2,0,0,0,1,0,2,5,0,3,0,1,1,0,0,0,0,1,1,0,0,3,1,1,1,4,6,3,0,9
2023020175,20232024,2023-11-05,ANA,VGK,True,False,1,4,2,20,27,12,12,10,14,42,53,2,2,16,18,7,4,21,39,5,2,10,2,4,1,2,4,2,7,8,1,0,0,0,0,0,1,5,0,1,0,1,1,1,0,0,0,2,1,1,0,0,0,1,1,5,6,0,0,0
